,age_rating,app_name,app_size,copy_right,in_app_purchases,lang,num_reviews,price,review_ratings,seller_name,version,num_lang
14,12,Fortnite,144.1,Frequent/Intense Cartoon or Fantasy Violence,"1000 V-Bucks,$9.99,2500 (+300 Bonus) V-Bucks,$24.99,Wingman Starter Pack,$4.99",['English'],2200000,Adventure,4.6,Epic Games,5.1.1,1
15,4,Rolling Sky,176.3,Â© cheetah technology corporation limited,"Upgrade,$1.99,10 superhearts,$1.99,500 Balls,$0.99","['English', ' Arabic', ' Dutch', ' French', ' German', ' Italian', ' Japanese', ' Korean', ' Russian', ' Simplified Chinese', ' Spanish', ' Traditional Chinese']",13300,Board,4.3,Cheetah Technology Corporation Limited,1.9.0.1,12
16,12,Turbo DismountÂ®,352.2,Frequent/Intense Cartoon or Fantasy Violence,"Premium unlock,$5.99,Speed & Style,$0.99,Mighty Pedals,$0.99",['English'],2700,Simulation,4.5,Secret Exit Ltd.,1.32.0,1
17,9,Faily Brakes,256.5,Infrequent/Mild Cartoon or Fantasy Violence,"The Beast,$1.99,The Jerry,$1.99,The Dom,$1.99","['English', ' Czech', ' Danish', ' French', ' German', ' Indonesian', ' Italian', ' Japanese', ' Korean', ' Norwegian', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Swedish', ' Thai', ' Traditional Chinese', ' Vietnamese']",723,,4.2,Spunge Games Pty Ltd,8.2,18
18,17,Modern Combat 5,1400,Frequent/Intense Mature/Suggestive Themes,"Captain's Pay,$4.99,Colonel's Savings,$9.99,General's Cut,$19.99","['English', ' Arabic', ' French', ' German', ' Indonesian', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Thai', ' Traditional Chinese', ' Turkish']",73100,Adventure,4.7,Gameloft,4.2.2,15
19,12,The Simsâ„¢ Mobile,117,Infrequent/Mild Cartoon or Fantasy Violence,"Wallet of SimCash,$4.99,Stack of SimCash,$9.99,SimCash Helping Hand 1,$0.99","['English', ' Danish', ' Dutch', ' Finnish', ' French', ' German', ' Italian', ' Norwegian', ' Polish', ' Portuguese', ' Russian', ' Spanish', ' Swedish', ' Turkish']",253100,Simulation,4.7,Electronic Arts,11.1.0,14
20,4,Traffic Rider,244.1,Â© 2015 Soner Kara,"20,000 cash,$1.99,Starter Kit,$6.99,Key,$1.99","['English', ' Danish', ' Dutch', ' French', ' German', ' Hungarian', ' Indonesian', ' Italian', ' Japanese', ' Korean', ' Polish', ' Portuguese', ' Romanian', ' Russian', ' Simplified Chinese', ' Spanish', ' Swedish', ' Turkish']",4200,Racing,4.5,Soner Kara,1.45,18
21,4,PinOut!,118.7,Â© Mediocre AB,"PinOut Premium,$2.99","['English', ' French', ' German', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Traditional Chinese', ' Turkish']",4900,,4.2,Mediocre AB,1.0.2,12
22,4,Soccer Starsâ„¢,113.4,Â© Miniclip Games,"Stack of Coins,$1.99,Stack of Bucks,$1.99,Golden Spin,$0.99","['English', ' French', ' German', ' Italian', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Turkish']",32800,Sports,4.7,Miniclip.com,4.0.2,9
23,4,PAC-MAN 256 - Endless Arcade Maze,145.4,Â©BANDAI NAMCO Entertainment Inc.,"Classic 80's Theme,$0.99,Welcome Pack,$0.99,Unlimited Credits,$4.99","['English', ' Arabic', ' French', ' German', ' Italian', ' Japanese', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Traditional Chinese']",4800,,4.6,BANDAI NAMCO Entertainment Europe,2.0.3,11
24,4,Pop the Lock,39.5,"Â© 2015, Simple Machine, LLC","Remove Ads,$1.99",['English'],2900,Puzzle,4.2,"Simple Machine, LLC",2.0.1,1
25,4,Pet Shop Storyâ„¢,132.9,"Â© 2016 Storm8 Studios, LLC","24 Gems,$4.99,9 Gems,$1.99,24 Gems,$3.99",['English'],957,Adventure,4.1,Storm8 Studios,1.1.5,1
26,12,Summoners War,60.4,Frequent/Intense Cartoon or Fantasy Violence,"Pile of Crystals,$9.99,Handfull of Crystals,$2.99,Sack of Crystals,$19.99","['English', ' Arabic', ' French', ' German', ' Indonesian', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Thai', ' Traditional Chinese', ' Turkish', ' Vietnamese']",7800,Strategy,4,Com2uS Corp.,4.0.1,16
27,12,Twisty Arrow!,101.5,Infrequent/Mild Mature/Suggestive Themes,"Remove Banner and Game Over Ad,$2.99",['English'],110100,Music,4.6,tastypill,1.9,1
28,4,Family FeudÂ® 2,127.4,Â© 2014 Ludia Inc. All rights reserved. Â© FremantleMedia Operations B.V. All rights reserved. Licensed by FremantleMedia.,"Tiny pack of coins,$1.99,Jackpot Spin,$0.99,Medium pack of coins,$4.99",['English'],3300,Trivia,3.8,Ludia,1.12.2,1
29,4,Disney Emoji Blitz,388.9,Â© 2016 Disney. Â© 2016 Disney/Pixar,"Gem Pack 1,$1.99,Gem Pack 2,$4.99,Gem Pack 3,$10.99","['English', ' Chinese', ' French', ' German', ' Italian', ' Korean', ' Portuguese', ' Russian', ' Spanish', ' Traditional Chinese']",45000,Puzzle,4.7,Disney,21.2.0,10
30,12,Stack Jump,189.3,Infrequent/Mild Medical/Treatment Information,"Remove Ads,$2.99",['English'],192900,Action,4.6,Voodoo,1.4.6,1
31,4,Home Design Story,259.5,Â© 2015 TeamLava LLC,"120 gems,$4.99,20 Gems,$0.99,120 Gems,$3.99",['English'],2100,Adventure,4,Storm8 Studios,1.0.9,1
32,12,Granny,220.8,Frequent/Intense Horror/Fear Themes,,['English'],31300,Arcade,4.5,Dennis Vukanovic,1.4,1
33,12,Stupid Zombies,106,Frequent/Intense Cartoon or Fantasy Violence,"5 Air Strikes,$0.99,100 Air Strikes,$3.99,10 Air Strikes,$1.99",['English'],24500,,4.8,GameResort LLC,2.0.4,1
34,4,Fashion Storyâ„¢,113.1,"Â© 2011 TeamLava, LLC","24 Gems,$4.99,50 Gems,$9.99,24 Gems,$3.99",['English'],1600,Adventure,4,Storm8 Studios,1.5.5,1
35,17,Zombie Frontier 3: Sniper FPS,172.2,Frequent/Intense Realistic Violence,"Starter Pack,$1.99,Gems Pack I,$4.99,Gems Pack III,$19.99",['English'],3600,Adventure,4.4,Feelingtouch Inc.,1.5.8,1
36,9,Toilet Time - Mini Games,128.7,Infrequent/Mild Profanity or Crude Humor,"pack with 40 plungers,$1.99,Remove Ads Forever,$1.99,pack with 300 plungers,$9.99","['English', ' Japanese', ' Portuguese']",589,Family,4.3,Tapps Tecnologia da InformaÃ§Ã£o Ltda.,2.7.10,3
37,12,Deal or No Deal,108.1,Infrequent/Mild Simulated Gambling,"Roll of Tokens,$1.99,Remove Ads!,$2.99,Bonus Slot Spin,$0.99",['English'],939,Casino,3.7,"iwin, Inc.",3.71,1
38,4,Puzzledom,69.6,Â© 2018 puzzledom,"120 Coins,$0.99,Remove Ads,$1.99,Starter Pack,$1.99","['English', ' Simplified Chinese', ' Traditional Chinese']",37000,Board,4.7,chengwei wu,7.19,3
39,4,Homescapes,202,Â© 2017 Playrix,"Handful of Coins,$0.99,Purse of Coins,$4.99,Handful of Coins,$0.99","['English', ' French', ' German', ' Italian', ' Japanese', ' Korean', ' Russian', ' Simplified Chinese', ' Spanish', ' Traditional Chinese']",227100,Simulation,4.5,Playrix Games,1.8.0,10
40,9,Monster Legends,158.4,Infrequent/Mild Cartoon or Fantasy Violence,"Couple of Gems,$1.99,Some Gems,$4.99,Handful of Gems,$9.99","['English', ' Finnish', ' French', ' German', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Turkish']",87200,Role Playing,4.8,Social Point,7.0.3,12
41,12,Hearthstone,2.7,Infrequent/Mild Profanity or Crude Humor,"Arena Admission,$1.99,Bundle of 7 Classic Packs,$9.99,Bundle of 2 Classic Packs,$2.99","['English', ' French', ' German', ' Italian', ' Japanese', ' Korean', ' Polish', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Traditional Chinese']",9900,Card,4.3,"Blizzard Entertainment, Inc.",12.0.25770,12
42,4,Words With Friends 2-Word Game,207.8,Â© 2017 Zynga Inc.,"Pack of Coins,$0.99,Handful of Coins,$4.99,Stack of Coins,$9.99","['English', ' French', ' German', ' Italian', ' Portuguese', ' Spanish']",303400,Word,4.7,Zynga Inc.,11.5.1,6
43,9,Lords Mobile: War Kingdom,395.9,Infrequent/Mild Cartoon or Fantasy Violence,"Captain's Special,$0.99,800 Gem Combo-E,$4.99,800 Gem Combo-D,$4.99","['English', ' Arabic', ' French', ' German', ' Indonesian', ' Italian', ' Japanese', ' Korean', ' Malay', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Thai', ' Traditional Chinese', ' Turkish', ' Ukrainian', ' Vietnamese']",17700,Strategy,4.1,IGG.COM,1.76,18
44,9,High School Story,163.3,Infrequent/Mild Mature/Suggestive Themes,"Stack of Rings,$1.99,Bunch of Rings,$4.99,Stack of Books,$1.99",['English'],3900,Role Playing,4.4,Pixelberry Studios,5.4.0,1
45,17,Walking Dead: The Game,384.5,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References","Episode 2: Starved For Help,$4.99,Multi-Pack [Episodes 2 -5] ,$14.99,Multi-Pack [Episodes 2 -5 + 400 Days Bundle] ,$19.99",['English'],1500,Adventure,4.1,Telltale Inc,1.1,1
46,4,The Impossible Test - Fun Free Trivia Game,41.7,Â© 2014 PixelCUBE Studios Inc.,"Answer Sheet,$0.99,Space Pack,$0.99,Remove Ads,$0.99",['English'],320,Trivia,3.8,PIXELCUBE STUDIOS INC.,3.7,1
47,12,GSN Casino: Slot Machine Games,159.5,Frequent/Intense Simulated Gambling,"$1.99 Token Bundle,$1.99,$9.99 Token Bundle,$9.99,$4.99 Token Bundle,$4.99",['English'],4300,Casino,4.2,Game Show Network,3.64,1
48,4,Traffic Racer,146.2,Â© 2012 Soner Kara,"40,000 Cash,$2.99,80,000 Cash,$4.99,300,000 Cash,$14.99","['English', ' Arabic', ' Dutch', ' French', ' German', ' Hungarian', ' Italian', ' Japanese', ' Korean', ' Polish', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Swedish', ' Turkish']",2100,Racing,4.3,Soner Kara,2.5,16
49,4,Tiny Wings,29.2,Â© 2011 Andreas Illiger,,"['English', ' Dutch', ' French', ' German', ' Italian', ' Spanish']",1300,Arcade,4.6,Andreas Illiger,2.3,6
50,4,TETRISÂ®,107,Tetris Â® and Â© 1985~2017 Tetris Holding. Â© 2017 Electronic Arts Inc.,"Ads Free,$4.99,2 500 T-Coins,$1.99,7 500 T-Coins,$4.99","['English', ' Dutch', ' French', ' German', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish']",5600,Puzzle,4.2,Electronic Arts,3.0.15,11
51,4,Fit the Fat 2,152.5,Â© 2017 Five Bits Inc.,"Small coin bag,$1.99,Stamina refill,$1.99,Medium coin bag,$2.99",['English'],7300,Sports,4.4,"FIVE BITS, INC.",1.4.3,1
52,4,Angry Birds Star Wars II,219.4,Â© Rovio Entertainment Oyj,"Tiny Credit Stack,$1.99,Small Credit Stack,$4.99,Medium Credit Stack,$9.99",['English'],33400,Action,4.6,Rovio Entertainment Oyj,1.9.23,1
53,4,Archery King,170.5,Â© BLUEHOLE PNIX and MINICLIP SA,"Premium Golden Spin,$1.99,Stack of Coins,$1.99,Stack of Cash,$1.99","['English', ' Arabic', ' French', ' German', ' Hindi', ' Indonesian', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Thai', ' Traditional Chinese']",3600,Sports,4.3,Miniclip.com,1.0.22,15
