age_rating,app_name,app_size,copy_right,in_app_purchases,lang,num_reviews,price,review_ratings,seller_name,version
12+,Blackjack: Casino Card Game,125 MB,Frequent/Intense Simulated Gambling,"Stack of Chips,$1.99,Stack of Chips,$1.99,Bundle of Chips,$0.99","English, French, Japanese, Simplified Chinese, Spanish",15.3K Ratings,"
                    #71 in Casino
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.6,MobilityWare,Version 6.0.4
4+,FIFA Soccer,137 MB,© 2016 Electronic Arts Inc.  All Rights Reserved.,"1200 FIFA Points,$9.99,580 FIFA Points,$4.99,230 FIFA Points,$1.99","English, Chinese (Hong Kong), Danish, Dutch, French, German, Indonesian, Italian, Japanese, Korean, Norwegian, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Turkish",69.1K Ratings,"
                    #22 in Sports
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.5,Electronic Arts,Version 10.5.00
12+,Heads Up!,107 MB,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References","Adult Supervision,$0.99,Just For Kids,Free,Happy Holidays,Free","English, Spanish",50.4K Ratings,"
                    #1 in Card
                  ,
                    ,
                  ,$0.99,Offers In-App Purchases",4.8,Warner Bros.,Version 3.9.4
4+,Doodle Jump,47 MB,"© 2018 Lima Sky, LLC","1000 coins,$0.99,10,000 coins,$4.99,30,000 coins,$9.99",English,277 Ratings,"
                    #24 in Adventure
                  ,
                    ,
                  ,$0.99,Offers In-App Purchases",4.2,Lima Sky,Version 3.20.2
4+,Where's My Water? 2,187.4 MB,© 2013 Disney,"Keychain,$0.99,Visual Hint Bundle,$0.99,Vacuum Power-up Bundle,$0.99","English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",2.2K Ratings,"
                    #71 in Puzzle
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.4,Disney,Version 1.6.2
12+,Tiny Tower,184.1 MB,Infrequent/Mild Profanity or Crude Humor,"pack of 100 Tower Bux,$4.99,pack of 10 Tower Bux,$0.99,pack of 1,000 Tower Bux,$29.99",English,18.6K Ratings,"
                    #89 in Family
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.7,NimbleBit LLC,Version 3.6.5
4+,Dancing Line,154.4 MB,© cheetah technology corporation limited,"Infinite Cubes,$1.99,Remove Pop-up Ads,$5.99,Small Coin Box,$2.99","English, Japanese, Russian, Simplified Chinese, Traditional Chinese",50K Ratings,"
                    #3 in Music
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.7,Cheetah Technology Corporation Limited,Version 2.2.1
4+,Glow Hockey 2L,45 MB,© Natenai Ariyatrakool,,English,431 Ratings,"
                    #53 in Family
                  ,
                    ,
                  ,Free",3.7,Natenai Ariyatrakool,Version 2.2.10
12+,Color Road!,179.3 MB,Infrequent/Mild Medical/Treatment Information,"Buy Revive Life,$0.99,Remove Ads,$2.99,100 Gems,$0.99",English,139.9K Ratings,"
                    #1 in Racing
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.6,Voodoo,Version 2.5.0
12+,Dune!,238.7 MB,Infrequent/Mild Medical/Treatment Information,"Remove Ads,$2.99,Revive,$0.99",English,317.1K Ratings,"
                    #50 in Action
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.5,Voodoo,Version 4.4
12+,myVEGAS Slots – Casino Slots,285 MB,Frequent/Intense Simulated Gambling,"Big Win Chips,$9.99,Ante Up Chips,$4.99,Mega Deal Chips,$19.99",English,18.8K Ratings,"
                    #34 in Casino
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.5,PlayStudios,Version 2.13.0
4+,Basketball Stars™,143.2 MB,© Miniclip Games,"Golden Spin,$0.99,A Bunch Of Cash,$1.99,A Bunch Of Gold,$1.99","English, French, German, Italian, Portuguese, Russian, Spanish, Turkish",15K Ratings,"
                    #32 in Sports
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.4,Miniclip.com,Version 1.16.1
